query,vol,kd,cpc,competition,intent,assigned_to,priority,status,compliance_risk,notes,primary_article_slug,coverage_status,kd_source,score,role,compliance,ai_overview,serp_verdict,sources
brain fog supplements,1000,0,,,,,3,candidate,,teardown/discovery 2026-06-21,,,dfs,5,spoke,,,,discovery
thyroid antibody lab test,1000,0,,,,J,3,candidate,,teardown/discovery 2026-06-21,,,dfs,6,commercial,,,,discovery
creatine brain fog,1000,12,,,,,3,candidate,,teardown/discovery 2026-06-21,,,dfs,4,spoke,,,,discovery
testosterone check,880,5,,,,C,3,candidate,high,teardown/discovery 2026-06-21,,,dfs,5,spoke,gate,,,backlog
testosterone free levels,880,4,,,,C,3,candidate,high,teardown/discovery 2026-06-21,,,dfs,5,spoke,gate,,,backlog
well man tests,880,0,,,,,3,candidate,,teardown/discovery 2026-06-21,,,dfs,5,spoke,,,,backlog
blood testing private,880,0,,,,,3,candidate,,teardown/discovery 2026-06-21,,,dfs,6,commercial,,,,backlog
how much protein your body can absorb,880,0,,,,,3,candidate,,teardown/discovery 2026-06-21,,,dfs,5,spoke,,,,backlog
test for vitamins,880,0,,,,,3,candidate,,teardown/discovery 2026-06-21,,,dfs,6,commercial,,,,backlog
testosterone at home test,880,0,,,,C,3,candidate,high,teardown/discovery 2026-06-21,,,dfs,6,commercial,gate,,,backlog
testosterone normal levels,880,19,,,,C,3,candidate,high,teardown/discovery 2026-06-21,,,dfs,4,spoke,gate,,,backlog
blood tests northwich,880,0,,,,,3,candidate,,teardown/discovery 2026-06-21,,,dfs,6,commercial,,,,backlog
herpes test blood,880,5,,,,,3,candidate,,teardown/discovery 2026-06-21,,,dfs,6,commercial,,,,backlog
gamma gt levels,880,1,,,,,3,candidate,,teardown/discovery 2026-06-21,,,dfs,5,spoke,,,,backlog
gamma gt blood test meaning,880,6,,,,,3,candidate,,teardown/discovery 2026-06-21,,,dfs,5,spoke,,,,backlog
what is gamma gt,880,10,,,,,3,candidate,,teardown/discovery 2026-06-21,,,dfs,5,spoke,,,,backlog
ggt blood test meaning,880,7,,,,H,3,candidate,,teardown/discovery 2026-06-21,,,dfs,5,spoke,,,,backlog
ggt levels,880,14,,,,H,3,candidate,,teardown/discovery 2026-06-21,,,dfs,4,spoke,,,,backlog
iron in steak,880,0,,,,,3,candidate,,teardown/discovery 2026-06-21,,,dfs,5,spoke,,,,backlog
what is ggt,880,8,,,,H,3,candidate,,teardown/discovery 2026-06-21,,,dfs,5,spoke,,,,backlog
hba1c what is normal range,880,14,,,,I,3,candidate,,teardown/discovery 2026-06-21,,,dfs,4,spoke,,,,backlog
how to test cortisol levels at home,880,2,,,,cortisol,3,candidate,,teardown/discovery 2026-06-21,,,dfs,5,spoke,,,,backlog
evorel 50 patches reviews,880,0,,,,,3,candidate,,teardown/discovery 2026-06-21,,,dfs,5,spoke,,,,backlog
what is mean cell haemoglobin,880,13,,,,D,3,candidate,,teardown/discovery 2026-06-21,,,dfs,4,spoke,,,,backlog
blood test total protein,880,23,,,,,3,candidate,,teardown/discovery 2026-06-21,,,dfs,4,commercial,,,,backlog
what is normal hba1c by age nhs,880,1,,,,I,3,candidate,,teardown/discovery 2026-06-21,,,dfs,5,spoke,,,,backlog
gamma glutamyl transferase levels,880,10,,,,,3,candidate,,teardown/discovery 2026-06-21,,,dfs,5,spoke,,,,backlog
hiv home tests,880,19,,,,,3,candidate,,teardown/discovery 2026-06-21,,,dfs,4,spoke,,,,backlog
protein test,880,23,,,,,3,candidate,,teardown/discovery 2026-06-21,,,dfs,4,commercial,,,,backlog
home aids test,880,10,,,,,3,candidate,,teardown/discovery 2026-06-21,,,dfs,6,commercial,,,,backlog
mchc meaning in blood test,880,0,,,,D,3,candidate,,teardown/discovery 2026-06-21,,,dfs,5,spoke,,,,backlog
why am i always tired and cold,880,19,,,,B,3,candidate,,teardown/discovery 2026-06-21,,,dfs,4,spoke,,,,discovery
vitamin d test kit,880,0,,,,A,3,candidate,,teardown/discovery 2026-06-21,,,dfs,6,commercial,,,,discovery
blood test crp cancer,880,0,,,,D,3,candidate,,teardown/discovery 2026-06-21,,,dfs,6,commercial,,,,discovery
full blood count normal values,880,13,,,,D,3,candidate,,teardown/discovery 2026-06-21,,,dfs,4,spoke,,,,discovery
normal full blood count levels,880,9,,,,D,3,candidate,,teardown/discovery 2026-06-21,,,dfs,5,spoke,,,,discovery
full blood count test normal range,880,9,,,,D,3,candidate,,teardown/discovery 2026-06-21,,,dfs,5,spoke,,,,discovery
full blood count normal ranges,880,12,,,,D,3,candidate,,teardown/discovery 2026-06-21,,,dfs,4,spoke,,,,discovery
liver function test values,880,21,,,,H,3,candidate,,teardown/discovery 2026-06-21,,,dfs,4,commercial,,,,discovery
how long blood test results nhs,880,0,,,,,3,candidate,,teardown/discovery 2026-06-21,,,dfs,5,spoke,,,,discovery
blood test vitamins,720,0,,,,,3,candidate,,teardown/discovery 2026-06-21,,,dfs,6,commercial,,,,backlog
health tests,720,6,,,,,3,candidate,,teardown/discovery 2026-06-21,,,dfs,5,spoke,,,,backlog
medic checks,720,4,,,,,3,candidate,,teardown/discovery 2026-06-21,,,dfs,5,spoke,,,,backlog
what are normal testosterone levels for a man,720,18,,,,C,3,candidate,high,teardown/discovery 2026-06-21,,,dfs,4,spoke,gate,,,backlog
blood test tired,720,0,,,,B,3,candidate,,teardown/discovery 2026-06-21,,,dfs,6,commercial,,,,backlog
blood test vitamin deficiency,720,4,,,,A,3,candidate,,teardown/discovery 2026-06-21,,,dfs,6,commercial,,,,backlog
how to check liver function at home,720,0,,,,H,3,candidate,,teardown/discovery 2026-06-21,,,dfs,5,spoke,,,,backlog
online blood testing,720,28,,,,,3,candidate,,teardown/discovery 2026-06-21,,,dfs,4,commercial,,,,backlog
online blood tests,720,22,,,,,3,candidate,,teardown/discovery 2026-06-21,,,dfs,4,commercial,,,,backlog
pricking fingers,720,0,,,,,3,candidate,,teardown/discovery 2026-06-21,,,dfs,5,spoke,,,,backlog
testing for autoimmune diseases,720,10,,,,,3,candidate,,teardown/discovery 2026-06-21,,,dfs,5,spoke,,,,backlog
autoimmunity test,720,8,,,,,3,candidate,,teardown/discovery 2026-06-21,,,dfs,6,commercial,,,,backlog
cortisol home test,720,0,,,,cortisol,3,candidate,,teardown/discovery 2026-06-21,,,dfs,6,commercial,,,,backlog
globulin high,720,0,,,,,3,candidate,,teardown/discovery 2026-06-21,,,dfs,5,spoke,,,,backlog
triva,720,11,,,,,3,candidate,,teardown/discovery 2026-06-21,,,dfs,4,spoke,,,,backlog
blood test hormone levels,720,0,,,,,3,candidate,,teardown/discovery 2026-06-21,,,dfs,6,commercial,,,,backlog
treat hormonal imbalance,720,18,,,,,3,candidate,,teardown/discovery 2026-06-21,,,dfs,4,spoke,,,,backlog
apolipoprotein,720,13,,,,,3,candidate,,teardown/discovery 2026-06-21,,,dfs,4,spoke,,,,backlog
breakfast high in iron,720,19,,,,,3,candidate,,teardown/discovery 2026-06-21,,,dfs,4,spoke,,,,backlog
check hormones levels,720,0,,,,,3,candidate,,teardown/discovery 2026-06-21,,,dfs,5,spoke,,,,backlog
blood tests to check hormone levels,720,0,,,,,3,candidate,,teardown/discovery 2026-06-21,,,dfs,6,commercial,,,,backlog
how to fix hormonal imbalance,720,18,,,,,3,candidate,,teardown/discovery 2026-06-21,,,dfs,4,spoke,,,,backlog
test hormone levels,720,14,,,,,3,candidate,,teardown/discovery 2026-06-21,,,dfs,5,commercial,,,,backlog
snacks high in iron,720,19,,,,,3,candidate,,teardown/discovery 2026-06-21,,,dfs,4,spoke,,,,backlog
am i perimenopausal quiz,720,4,,,,,3,candidate,,teardown/discovery 2026-06-21,,,dfs,5,spoke,,,,backlog
progesterone levels,720,18,,,,,3,candidate,,teardown/discovery 2026-06-21,,,dfs,4,spoke,,,,backlog
test urea,720,0,,,,,3,candidate,,teardown/discovery 2026-06-21,,,dfs,6,commercial,,,,backlog
foods to help hormone balance,720,3,,,,,3,candidate,,teardown/discovery 2026-06-21,,,dfs,5,spoke,,,,backlog
bicarbonate blood test,720,0,,,,,3,candidate,,teardown/discovery 2026-06-21,,,dfs,6,commercial,,,,backlog
homa-ir,720,18,,,,,3,candidate,,teardown/discovery 2026-06-21,,,dfs,4,spoke,,,,backlog
chloride blood test,720,17,,,,,3,candidate,,teardown/discovery 2026-06-21,,,dfs,5,commercial,,,,backlog
clotted meaning,720,0,,,,,3,candidate,,teardown/discovery 2026-06-21,,,dfs,5,spoke,,,,backlog
pcv in blood test,720,0,,,,,3,candidate,,teardown/discovery 2026-06-21,,,dfs,6,commercial,,,,backlog
what are normal cholesterol levels uk,720,7,,,,I,3,candidate,,teardown/discovery 2026-06-21,,,dfs,5,spoke,,,,backlog
mdma test kit,720,0,,,,,3,candidate,,teardown/discovery 2026-06-21,,,dfs,6,commercial,,,,backlog
what are healthy cholesterol levels uk,720,9,,,,I,3,candidate,,teardown/discovery 2026-06-21,,,dfs,5,spoke,,,,backlog
home test,720,15,,,,,3,candidate,,teardown/discovery 2026-06-21,,,dfs,5,commercial,,,,backlog
blood test results chart,720,10,,,,,3,candidate,,teardown/discovery 2026-06-21,,,dfs,6,commercial,,,,discovery
does full blood count test show cancer,720,21,,,,D,3,candidate,,teardown/discovery 2026-06-21,,,dfs,4,commercial,,,,discovery
full blood count fbc,720,9,,,,D,3,candidate,,teardown/discovery 2026-06-21,,,dfs,5,spoke,,,,discovery
can low testosterone cause hair loss,720,1,,,,C,3,candidate,high,teardown/discovery 2026-06-21,,,dfs,5,spoke,gate,,,discovery
does low testosterone cause hair loss,720,1,,,,C,3,candidate,high,teardown/discovery 2026-06-21,,,dfs,5,spoke,gate,,,discovery
will low testosterone cause hair loss,720,0,,,,C,3,candidate,high,teardown/discovery 2026-06-21,,,dfs,5,spoke,gate,,,discovery
nhs liver function test,720,12,,,,H,3,candidate,,teardown/discovery 2026-06-21,,,dfs,5,commercial,,,,discovery
liver function blood test normal range uk,720,12,,,,H,3,candidate,,teardown/discovery 2026-06-21,,,dfs,4,spoke,,,,discovery
how to clear brain fog instantly,720,19,,,,,3,candidate,,teardown/discovery 2026-06-21,,,dfs,4,spoke,,,,discovery
blood test nhs walk-in centre,720,6,,,,,3,candidate,,teardown/discovery 2026-06-21,,,dfs,6,commercial,,,,discovery
thyroid lab test results,720,26,,,,J,3,candidate,,teardown/discovery 2026-06-21,,,dfs,4,commercial,,,,discovery
urea and electrolytes blood test results explained,720,0,,,,,3,candidate,,teardown/discovery 2026-06-21,,,dfs,6,commercial,,,,discovery
how can i read my blood test results,720,9,,,,,3,candidate,,teardown/discovery 2026-06-21,,,dfs,6,commercial,,,,discovery
how to interpret blood test results,720,3,,,,,3,candidate,,teardown/discovery 2026-06-21,,,dfs,5,spoke,,,,discovery
how long do blood test results take in a&e uk,720,0,,,,,3,candidate,,teardown/discovery 2026-06-21,,,dfs,5,spoke,,,,discovery
blood test results and meaning,720,19,,,,,3,candidate,,teardown/discovery 2026-06-21,,,dfs,4,spoke,,,,discovery
blood test results explanation,720,12,,,,,3,candidate,,teardown/discovery 2026-06-21,,,dfs,5,commercial,,,,discovery
explaining blood test results,720,19,,,,,3,candidate,,teardown/discovery 2026-06-21,,,dfs,5,commercial,,,,discovery
how to understand blood test results,720,3,,,,,3,candidate,,teardown/discovery 2026-06-21,,,dfs,5,spoke,,,,discovery
blood testing for alcohol,590,1,,,,,3,candidate,,teardown/discovery 2026-06-21,,,dfs,6,commercial,,,,backlog
blood lead level test,590,2,,,,,3,candidate,,teardown/discovery 2026-06-21,,,dfs,6,commercial,,,,backlog
blood testing for lead,590,0,,,,,3,candidate,,teardown/discovery 2026-06-21,,,dfs,6,commercial,,,,backlog
blood testing service,590,22,,,,,3,candidate,,teardown/discovery 2026-06-21,,,dfs,4,commercial,,,,backlog
do guys have hormones,590,15,,,,,3,candidate,,teardown/discovery 2026-06-21,,,dfs,4,spoke,,,,backlog
fountain of youth collagen,590,0,,,,,3,candidate,,teardown/discovery 2026-06-21,,,dfs,5,spoke,,,,backlog
free test testosterone,590,6,,,,C,3,candidate,high,teardown/discovery 2026-06-21,,,dfs,6,commercial,gate,,,backlog
home test for liver enzymes,590,1,,,,H,3,candidate,,teardown/discovery 2026-06-21,,,dfs,6,commercial,,,,backlog
hormone tests for males,590,0,,,,,3,candidate,,teardown/discovery 2026-06-21,,,dfs,5,spoke,,,,backlog
iron with ferritin,590,20,,,,D,3,candidate,,teardown/discovery 2026-06-21,,,dfs,4,spoke,,,,backlog
optimale blood test,590,0,,,,,3,candidate,,teardown/discovery 2026-06-21,,,dfs,6,commercial,,,,backlog
triglyceride and hdl ratio,590,4,,,,I,3,candidate,,teardown/discovery 2026-06-21,,,dfs,5,spoke,,,,backlog
what does amrap mean,590,0,,,,,3,candidate,,teardown/discovery 2026-06-21,,,dfs,5,spoke,,,,backlog
blood health test,590,5,,,,,3,candidate,,teardown/discovery 2026-06-21,,,dfs,6,commercial,,,,backlog
do men have hormones,590,11,,,,,3,candidate,,teardown/discovery 2026-06-21,,,dfs,4,spoke,,,,backlog
full vitamin and mineral blood test uk,590,0,,,,,3,candidate,,teardown/discovery 2026-06-21,,,dfs,6,commercial,,,,backlog
home liver function test,590,0,,,,H,3,candidate,,teardown/discovery 2026-06-21,,,dfs,6,commercial,,,,backlog
home liver test,590,0,,,,H,3,candidate,,teardown/discovery 2026-06-21,,,dfs,6,commercial,,,,backlog
macros vs micros,590,6,,,,,3,candidate,,teardown/discovery 2026-06-21,,,dfs,5,spoke,,,,backlog
vitamin b12 test at home,590,0,,,,D/B12,3,candidate,,teardown/discovery 2026-06-21,,,dfs,6,commercial,,,,backlog
best magnesium tablet,590,0,,,,,3,candidate,,teardown/discovery 2026-06-21,,,dfs,5,spoke,,,,backlog
blood tests health check,590,23,,,,,3,candidate,,teardown/discovery 2026-06-21,,,dfs,4,commercial,,,,backlog
homocysteine blood test,590,4,,,,,3,candidate,,teardown/discovery 2026-06-21,,,dfs,6,commercial,,,,backlog
do baked beans contain iron,590,9,,,,,3,candidate,,teardown/discovery 2026-06-21,,,dfs,5,spoke,,,,backlog
d2 vs d3 vitamin,590,10,,,,,3,candidate,,teardown/discovery 2026-06-21,,,dfs,5,spoke,,,,backlog
do baked beans have iron,590,3,,,,,3,candidate,,teardown/discovery 2026-06-21,,,dfs,5,spoke,,,,backlog
thriver,590,19,,,,,3,candidate,,teardown/discovery 2026-06-21,,,dfs,4,spoke,,,,backlog
how much iron in beef steak,590,6,,,,,3,candidate,,teardown/discovery 2026-06-21,,,dfs,5,spoke,,,,backlog
uric acid high reasons,590,4,,,,,3,candidate,,teardown/discovery 2026-06-21,,,dfs,5,spoke,,,,backlog
low bilirubin,590,8,,,,H,3,candidate,,teardown/discovery 2026-06-21,,,dfs,5,spoke,,,,backlog
how to check your cholesterol at home,590,12,,,,I,3,candidate,,teardown/discovery 2026-06-21,,,dfs,4,spoke,,,,backlog
plasma gamma gt level,590,6,,,,,3,candidate,,teardown/discovery 2026-06-21,,,dfs,5,spoke,,,,backlog
how to lower ferritin levels,590,4,,,,D,3,candidate,,teardown/discovery 2026-06-21,,,dfs,5,spoke,,,,backlog
mchc reference range,590,1,,,,D,3,candidate,,teardown/discovery 2026-06-21,,,dfs,5,spoke,,,,backlog
mean cell hemoglobin concentration normal range,590,7,,,,,3,candidate,,teardown/discovery 2026-06-21,,,dfs,5,spoke,,,,backlog
normal mchc value,590,0,,,,D,3,candidate,,teardown/discovery 2026-06-21,,,dfs,5,spoke,,,,backlog
how to decrease ferritin levels,590,0,,,,D,3,candidate,,teardown/discovery 2026-06-21,,,dfs,5,spoke,,,,backlog
how to reduce ferritin levels,590,8,,,,D,3,candidate,,teardown/discovery 2026-06-21,,,dfs,5,spoke,,,,backlog
mean corpuscular hemoglobin concentration normal range,590,1,,,,,3,candidate,,teardown/discovery 2026-06-21,,,dfs,5,spoke,,,,backlog
normal total protein levels,590,0,,,,,3,candidate,,teardown/discovery 2026-06-21,,,dfs,5,spoke,,,,backlog
mean corpuscular haemoglobin low,590,0,,,,D,3,candidate,,teardown/discovery 2026-06-21,,,dfs,5,spoke,,,,backlog
mchc normal range,590,0,,,,D,3,candidate,,teardown/discovery 2026-06-21,,,dfs,5,spoke,,,,backlog
period cycle graph,590,18,,,,,3,candidate,,teardown/discovery 2026-06-21,,,dfs,4,spoke,,,,backlog
does running increase testosterone,590,7,,,,C,3,candidate,high,teardown/discovery 2026-06-21,,,dfs,5,spoke,gate,,,backlog
hypo versus hyperthyroidism,590,13,,,,J,3,candidate,,teardown/discovery 2026-06-21,,,dfs,4,spoke,,,,backlog
serum iron,590,11,,,,,3,candidate,,teardown/discovery 2026-06-21,,,dfs,4,spoke,,,,backlog
total protein,590,12,,,,,3,candidate,,teardown/discovery 2026-06-21,,,dfs,4,spoke,,,,backlog
test for hepatitis,590,10,,,,,3,candidate,,teardown/discovery 2026-06-21,,,dfs,6,commercial,,,,backlog
body mots,590,0,,,,,3,candidate,,teardown/discovery 2026-06-21,,,dfs,5,spoke,,,,backlog
at home test diabetes,590,4,,,,,3,candidate,,teardown/discovery 2026-06-21,,,dfs,6,commercial,,,,backlog
full blood count borderline,590,0,,,,D,3,candidate,,teardown/discovery 2026-06-21,,,dfs,5,spoke,,,,discovery
hba1c how to lower,590,0,,,,I,3,candidate,,teardown/discovery 2026-06-21,,,dfs,5,spoke,,,,discovery
mens health check,590,0,,,,,3,candidate,,teardown/discovery 2026-06-21,,,dfs,6,commercial,,,,discovery
blood test time for results,480,0,,,,,3,candidate,,teardown/discovery 2026-06-21,,,dfs,5,commercial,,,,backlog
how to get testosterone test,480,0,,,,C,3,candidate,high,teardown/discovery 2026-06-21,,,dfs,4,spoke,gate,,,discovery
nhs app blood test results,480,11,,,,,3,candidate,,teardown/discovery 2026-06-21,,,dfs,4,commercial,,,,discovery
full blood count private,480,7,,,,D,3,candidate,,teardown/discovery 2026-06-21,,,dfs,5,commercial,,,,discovery
brain fog test,480,0,,,,,3,candidate,,teardown/discovery 2026-06-21,,,dfs,5,commercial,,,,discovery
full blood test private,480,7,,,,,3,candidate,,teardown/discovery 2026-06-21,,,dfs,5,commercial,,,,discovery
blood test private cost,480,0,,,,,3,candidate,,teardown/discovery 2026-06-21,,,dfs,5,commercial,,,,discovery
home test vitamin d,390,0,,,,A,3,candidate,,teardown/discovery 2026-06-21,,,dfs,5,commercial,,,,discovery
testosterone test in men,390,4,,,,C,3,candidate,high,teardown/discovery 2026-06-21,,,dfs,5,commercial,gate,,,discovery
manual testosterone test,390,4,,,,C,3,candidate,high,teardown/discovery 2026-06-21,,,dfs,5,commercial,gate,,,discovery
will low testosterone cause weight gain,390,0,,,,C,3,candidate,high,teardown/discovery 2026-06-21,,,dfs,4,spoke,gate,,,discovery
blood test thyroid peroxidase,390,7,,,,J,3,candidate,,teardown/discovery 2026-06-21,,,dfs,5,commercial,,,,discovery
hba1c measurement units,390,1,,,,I,3,candidate,,teardown/discovery 2026-06-21,,,dfs,4,spoke,,,,discovery
hba1c conversion calculator,390,9,,,,I,3,candidate,,teardown/discovery 2026-06-21,,,dfs,4,spoke,,,,discovery
hba1c mmol/mol to percentage formula,390,0,,,,I,3,candidate,,teardown/discovery 2026-06-21,,,dfs,4,spoke,,,,discovery
always hungry tired,320,10,,,,B,3,candidate,,teardown/discovery 2026-06-21,,,dfs,4,spoke,,,,discovery
boots vitamin d test,320,0,,,,A,3,candidate,,teardown/discovery 2026-06-21,,,dfs,5,commercial,,,,discovery
vitamin d deficiency test,320,0,,,,A,3,candidate,,teardown/discovery 2026-06-21,,,dfs,5,commercial,,,,discovery
crp esr blood test,320,7,,,,D,3,candidate,,teardown/discovery 2026-06-21,,,dfs,5,commercial,,,,discovery
full blood count 424,320,7,,,,D,3,candidate,,teardown/discovery 2026-06-21,,,dfs,4,spoke,,,,discovery
full blood count nhs,320,0,,,,D,3,candidate,,teardown/discovery 2026-06-21,,,dfs,4,spoke,,,,discovery
thyroid home test kit,320,0,,,,J,3,candidate,,teardown/discovery 2026-06-21,,,dfs,5,commercial,,,,discovery
diagnose diabetes with hba1c,320,0,,,,I,3,candidate,,teardown/discovery 2026-06-21,,,dfs,4,spoke,,,,discovery
how to reduce hba1c in a week,320,0,,,,I,3,candidate,,teardown/discovery 2026-06-21,,,dfs,4,spoke,,,,discovery
vitamin d level test,260,4,,,,A,3,candidate,,teardown/discovery 2026-06-21,,,dfs,5,commercial,,,,discovery
25-hydroxy vitamin d test,260,8,,,,A,3,candidate,,teardown/discovery 2026-06-21,,,dfs,5,commercial,,,,discovery
25-oh vitamin d test,260,6,,,,A,3,candidate,,teardown/discovery 2026-06-21,,,dfs,5,commercial,,,,discovery
lab test vitamin d 25 hydroxy,260,8,,,,A,3,candidate,,teardown/discovery 2026-06-21,,,dfs,5,commercial,,,,discovery
crp blood test levels,260,13,,,,D,3,candidate,,teardown/discovery 2026-06-21,,,dfs,4,commercial,,,,discovery
testosterone level on blood test,260,1,,,,C,3,candidate,high,teardown/discovery 2026-06-21,,,dfs,5,commercial,gate,,,discovery
lab test testosterone levels,260,5,,,,C,3,candidate,high,teardown/discovery 2026-06-21,,,dfs,5,commercial,gate,,,discovery
testosterone home test kit,260,0,,,,C,3,candidate,high,teardown/discovery 2026-06-21,,,dfs,5,commercial,gate,,,discovery
testosterone online test,260,0,,,,C,3,candidate,high,teardown/discovery 2026-06-21,,,dfs,5,commercial,gate,,,discovery
translate my blood test results uk,260,0,,,,,3,candidate,,teardown/discovery 2026-06-21,,,dfs,5,commercial,,,,discovery
full blood count cost,260,0,,,,D,3,candidate,,teardown/discovery 2026-06-21,,,dfs,4,spoke,,,,discovery
thyroid blood test normal levels,260,17,,,,J,3,candidate,,teardown/discovery 2026-06-21,,,dfs,4,commercial,,,,discovery
target hba1c type 2 diabetes,260,0,,,,I,3,candidate,,teardown/discovery 2026-06-21,,,dfs,4,spoke,,,,discovery
hba1c home testing kits,260,0,,,,I,3,candidate,,teardown/discovery 2026-06-21,,,dfs,4,spoke,,,,discovery
free vitamin d test uk,210,8,,,,A,3,candidate,,teardown/discovery 2026-06-21,,,dfs,5,commercial,,,,discovery
hs crp blood test,210,7,,,,D,3,candidate,,teardown/discovery 2026-06-21,,,dfs,5,commercial,,,,discovery
how test testosterone levels at home,210,0,,,,C,3,candidate,high,teardown/discovery 2026-06-21,,,dfs,5,commercial,gate,,,discovery
full blood count borderline meaning,210,0,,,,D,3,candidate,,teardown/discovery 2026-06-21,,,dfs,4,spoke,,,,discovery
can a full blood count detect ovarian cancer,210,6,,,,D,3,candidate,,teardown/discovery 2026-06-21,,,dfs,4,spoke,,,,discovery
cholesterol test price,210,0,,,,I,3,candidate,,teardown/discovery 2026-06-21,,,dfs,5,commercial,,,,discovery
hba1c blood bottle colour,210,0,,,,I,3,candidate,,teardown/discovery 2026-06-21,,,dfs,4,spoke,,,,discovery
mens health check uk,210,0,,,,,3,candidate,,teardown/discovery 2026-06-21,,,dfs,5,commercial,,,,discovery
free nhs health check scotland,210,3,,,,,3,candidate,,teardown/discovery 2026-06-21,,,dfs,5,commercial,,,,discovery
blood work test,49500,33,,,,,4,candidate,,teardown/discovery 2026-06-21,,,dfs,6,commercial,,,NHS-NAV,backlog
why an i always tired,14800,53,,,,B,4,candidate,,teardown/discovery 2026-06-21,,,dfs,3,spoke,,,,discovery
nhs health check,12100,1,,,,,4,candidate,,teardown/discovery 2026-06-21,,,dfs,4,commercial,,Y,NHS-NAV,discovery
male with low testosterone symptoms,12100,59,,,,C,4,candidate,high,teardown/discovery 2026-06-21,,,dfs,3,spoke,gate,,,discovery
signs low testosterone man,12100,60,,,,C,4,candidate,high,teardown/discovery 2026-06-21,,,dfs,3,spoke,gate,,,discovery
what is cholesterol,9900,58,,,,I,4,candidate,,teardown/discovery 2026-06-21,,,dfs,3,spoke,,,,backlog
high cortisol level,8100,55,,,,cortisol,4,candidate,,teardown/discovery 2026-06-21,,,dfs,3,spoke,,,,backlog
triglyceride levels,6600,33,,,,I,4,candidate,,teardown/discovery 2026-06-21,,,dfs,3,spoke,,,,backlog
cholesterol levels by age chart,6600,33,,,,I,4,candidate,,teardown/discovery 2026-06-21,,,dfs,3,spoke,,,,backlog
serum total bilirubin level,5400,34,,,,H,4,candidate,,teardown/discovery 2026-06-21,,,dfs,3,spoke,,,,backlog
liver function,5400,62,,,,H,4,candidate,,teardown/discovery 2026-06-21,,,dfs,2,spoke,,,,backlog
alp blood test,4400,10,,,,H,4,candidate,,teardown/discovery 2026-06-21,,,dfs,2,commercial,,n,NHS-NAV,backlog
folate b9,4400,69,,,,D/B12,4,candidate,,teardown/discovery 2026-06-21,,,dfs,2,spoke,,,,backlog
monthly hormone cycle,4400,42,,,,,4,candidate,,teardown/discovery 2026-06-21,,,dfs,3,spoke,,,,backlog
cortisol reduction,4400,32,,,,cortisol,4,candidate,,teardown/discovery 2026-06-21,,,dfs,3,spoke,,,,backlog
low ferritin level,4400,40,,,,D,4,candidate,,teardown/discovery 2026-06-21,,,dfs,3,spoke,,,,discovery
ferritin serum high,4400,35,,,,D,4,candidate,,teardown/discovery 2026-06-21,,,dfs,3,spoke,,,,discovery
what is dangerously low ferritin levels,4400,40,,,,D,4,candidate,,teardown/discovery 2026-06-21,,,dfs,3,spoke,,,,discovery
blood test results,3600,0,,,,,4,candidate,,teardown/discovery 2026-06-21,,,dfs,3,commercial,,Y,NHS-NAV,discovery
nhs blood test results,3600,0,,,,,4,candidate,,teardown/discovery 2026-06-21,,,dfs,2,commercial,,n,NHS-NAV,discovery
cre blood test,3600,46,,,,,4,candidate,,teardown/discovery 2026-06-21,,,dfs,3,commercial,,,,backlog
sources of vitamin b12,3600,43,,,,D/B12,4,candidate,,teardown/discovery 2026-06-21,,,dfs,3,spoke,,,,backlog
vitamin deficiency,3600,43,,,,A,4,candidate,,teardown/discovery 2026-06-21,,,dfs,3,spoke,,,,backlog
liver function test high,3600,51,,,,H,4,candidate,,teardown/discovery 2026-06-21,,,dfs,2,spoke,,,,discovery
what is dangerously high ferritin levels symptoms,3600,43,,,,D,4,candidate,,teardown/discovery 2026-06-21,,,dfs,3,spoke,,,,discovery
blood test crp meaning,3600,42,,,,D,4,candidate,,teardown/discovery 2026-06-21,,,dfs,3,spoke,,,,discovery
blood lab test results,3600,47,,,,,4,candidate,,teardown/discovery 2026-06-21,,,dfs,3,commercial,,,,discovery
serum bilirubin level,2900,34,,,,H,4,candidate,,teardown/discovery 2026-06-21,,,dfs,3,spoke,,,,backlog
hemoglobin concentration high,2900,39,,,,,4,candidate,,teardown/discovery 2026-06-21,,,dfs,3,spoke,,,,backlog
vitamin a b c d e k deficiency,2900,58,,,,,4,candidate,,teardown/discovery 2026-06-21,,,dfs,2,spoke,,,,discovery
bilirubin normal levels,2400,34,,,,H,4,candidate,,teardown/discovery 2026-06-21,,,dfs,3,spoke,,,,backlog
what are triglycerides,2400,33,,,,I,4,candidate,,teardown/discovery 2026-06-21,,,dfs,3,spoke,,,,backlog
sodium level,2400,50,,,,,4,candidate,,teardown/discovery 2026-06-21,,,dfs,2,spoke,,,,backlog
how to eliminate cortisol naturally,2400,48,,,,cortisol,4,candidate,,teardown/discovery 2026-06-21,,,dfs,2,spoke,,,,backlog
how to decrease cortisol,2400,48,,,,cortisol,4,candidate,,teardown/discovery 2026-06-21,,,dfs,2,spoke,,,,backlog
weird symptoms of vitamin d deficiency,2400,33,,,,A,4,candidate,,teardown/discovery 2026-06-21,,,dfs,3,spoke,,,,discovery
always tired,2400,35,,,,B,4,candidate,,teardown/discovery 2026-06-21,,,dfs,3,spoke,,,,discovery
vitamin d and magnesium deficiency,2400,32,,,,A,4,candidate,,teardown/discovery 2026-06-21,,,dfs,3,spoke,,,,discovery
